variant,rank_ic_increment,q,net_annual_increment,positive_full_years,decision
ADD_BP,0.0011190151997864388,0.37106446776611696,-0.015267885459899662,1,NO_GO
ADD_CASHFLOW,-0.0010898319884020931,0.8250874562718641,-0.08758951143998002,0,NO_GO
ADD_BOTH,0.0022200482227981012,0.17841079460269865,-0.04849125483515391,0,NO_GO
