candidate,matched_rank_ic,residual_rank_ic,days
BP,0.034527500495244154,0.016799812202451303,238
CASHFLOW,0.016455766614358432,0.011184193792629346,238
ILLIQUIDITY,0.02157626989370047,0.011674878950545791,238
