year,variant,train_end,valid_end,train_rows,valid_rows,prediction_rows,features,seed,best_iteration
2015,BASE,2013-12-27 00:00:00,2014-12-29 00:00:00,45921,47849,12217,158,42,5
2015,ADD_ENGINEERING_NOISE,2013-12-27 00:00:00,2014-12-29 00:00:00,45921,47849,12217,159,42,5
