feature,family,split,coverage,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio
ROC20,trend_reversal,basis_fit,0.901775956284153,233,55194,0.0596502813880925,0.23243599418584013,0.25663099898546765,0.575107296137339,0.07681413142165941,0.23833573008217676,0.3222938138363658,0.6008583690987125
ROC30,trend_reversal,basis_fit,0.8952185792349727,233,54827,0.1275353798134785,0.23094704098543792,0.5522278149539924,0.6909871244635193,0.14479989562432366,0.23463360017674345,0.6171319688026337,0.721030042918455
ROC60,trend_reversal,basis_fit,0.8837431693989071,233,54070,0.0884090798623009,0.21093691720170246,0.4191256847551357,0.6609442060085837,0.10643515081347744,0.22674011764265203,0.46941472872137185,0.6952789699570815
MA5,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.04876354775690615,0.20277801496594144,0.24047748847475633,0.5965665236051502,0.06387752168340187,0.2091954748809246,0.3053484867192341,0.6523605150214592
MA10,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.04558114455008342,0.20474630596383459,0.22262254908830764,0.5879828326180258,0.06260416410910997,0.20563416642351828,0.304444369328063,0.6266094420600858
MA20,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.06022930703760686,0.22193087678356085,0.2713876857087614,0.6051502145922747,0.07903342017563317,0.22434096901433837,0.3522915164487048,0.6223175965665236
MA30,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.08283649776033962,0.23033327607656384,0.35963756158621385,0.5965665236051502,0.10204978155500662,0.23189949097890708,0.44006039480392295,0.6394849785407726
MA60,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.11259368932796643,0.22399241670441503,0.5026674160873373,0.703862660944206,0.13729480273794756,0.2322491905534414,0.5911529870600583,0.7253218884120172
STD5,volatility,basis_fit,0.9300136612021858,233,56802,-0.004932128870003472,0.20233216978914206,-0.024376394891348362,0.44635193133047213,-0.014529132130390567,0.21332054450370186,-0.06810938985831454,0.43776824034334766
STD10,volatility,basis_fit,0.9312158469945355,233,56856,-0.009296057150731134,0.20799757344176104,-0.044693103851685144,0.4334763948497854,-0.02029723048222298,0.22139936039918592,-0.09167700595713922,0.4034334763948498
STD20,volatility,basis_fit,0.9316530054644808,233,56877,-0.01616971673490906,0.2296220161300049,-0.07041884313808248,0.44206008583690987,-0.03589920937795704,0.2553782043294112,-0.14057272221888917,0.38197424892703863
STD30,volatility,basis_fit,0.9319398907103825,233,56888,-0.006840932086531628,0.24973586443886753,-0.02739266985902303,0.43776824034334766,-0.027330274449905996,0.27756661610329886,-0.09846383846007906,0.3948497854077253
STD60,volatility,basis_fit,0.9321857923497268,233,56895,-0.011751226728600758,0.27151839008068374,-0.043279671498894765,0.4592274678111588,-0.03173126512582068,0.3022340923092829,-0.10498903311460102,0.44206008583690987
BETA5,trend_reversal,basis_fit,0.9300136612021858,233,56802,-0.038397281087501116,0.20050106827953335,-0.1915066159845524,0.4206008583690987,-0.05732408924501981,0.20780148146674238,-0.2758598679874872,0.3776824034334764
BETA10,trend_reversal,basis_fit,0.9312158469945355,233,56856,-0.03050054863978584,0.1952590575418784,-0.1562055508397822,0.45064377682403434,-0.0467559332231711,0.20503473493284954,-0.22803908439457357,0.4291845493562232
BETA20,trend_reversal,basis_fit,0.9316530054644808,233,56877,-0.03827899289600341,0.21269660890519776,-0.17996992567504902,0.41630901287553645,-0.06351476197387401,0.23537686395749988,-0.2698428422656798,0.3776824034334764
BETA30,trend_reversal,basis_fit,0.9319398907103825,233,56888,-0.06909011707853072,0.20971670900344835,-0.3294449803586927,0.41201716738197425,-0.09588726909952194,0.23700619216194624,-0.4045770628389414,0.34334763948497854
BETA60,trend_reversal,basis_fit,0.9321857923497268,233,56895,-0.06350292652848183,0.1916313347549706,-0.3313807035247124,0.33047210300429186,-0.09732800071753964,0.23006108388093502,-0.42305286524647695,0.296137339055794
RSQR5,trend_reversal,basis_fit,0.9300136612021858,233,56802,-0.01342483749140812,0.15224822947794803,-0.08817729793930118,0.38626609442060084,-0.01634495566337274,0.15273342475251964,-0.10701623230054035,0.3948497854077253
RSQR10,trend_reversal,basis_fit,0.9312158469945355,233,56856,-0.0073214342886766546,0.16968434056419088,-0.043147377444101784,0.463519313304721,-0.011441934057303737,0.1748233946477687,-0.06544852924493749,0.4248927038626609
RSQR20,trend_reversal,basis_fit,0.9316530054644808,233,56877,-0.019941603668444594,0.18431663140905555,-0.10819210136381027,0.45064377682403434,-0.025110120120160232,0.19597114530297416,-0.12813172103137752,0.4291845493562232
RSQR30,trend_reversal,basis_fit,0.9319398907103825,233,56888,-0.012958397537950542,0.17542106137206873,-0.07387024931097488,0.463519313304721,-0.016431885405706986,0.18079377322965756,-0.0908874521072913,0.4592274678111588
RSQR60,trend_reversal,basis_fit,0.9321857923497268,233,56895,-0.0556484217211895,0.15347526181051446,-0.3625888697938489,0.36909871244635195,-0.06120233529263384,0.16667881064978515,-0.3671872570606966,0.36909871244635195
RESI5,trend_reversal,basis_fit,0.9300136612021858,233,56802,-0.026207443098622763,0.19186322358890312,-0.13659440620457988,0.44206008583690987,-0.02689642094868691,0.20023193330677563,-0.13432633099276362,0.44635193133047213
RESI10,trend_reversal,basis_fit,0.9312158469945355,233,56856,-0.030513803188912142,0.1871914403510459,-0.16300853891443254,0.4248927038626609,-0.03658642280388679,0.20399158054885788,-0.17935261203157354,0.41201716738197425
