,BP_raw,BP_neutral,EP_raw,EP_neutral,SP_raw,SP_neutral
BP_raw,1.0,0.6657449553113062,0.5830378328536138,0.2740938399497953,0.6434221392336027,0.39847426988497414
BP_neutral,0.6657449553113062,1.0,0.2715339627406301,0.4547459028376098,0.41394421144668536,0.5443559044646324
EP_raw,0.5830378328536138,0.2715339627406301,1.0,0.5578902466449684,0.36864829028902635,0.2173267446535011
EP_neutral,0.2740938399497953,0.4547459028376098,0.5578902466449684,1.0,0.21953243295358113,0.34535520006964876
SP_raw,0.6434221392336027,0.41394421144668536,0.36864829028902635,0.21953243295358113,1.0,0.5348593871131344
SP_neutral,0.39847426988497414,0.5443559044646324,0.2173267446535011,0.34535520006964876,0.5348593871131344,1.0
