factor,coverage,rank_ic,q,net_excess_annual,net_mdd,status,neutral_blend_delta_annual,increment_supported
BP_raw,0.9440437158469945,0.023366286206150076,0.208095952023988,0.10428323717981398,-0.4049526079179935,REJECT,,False
BP_neutral,0.753620218579235,0.03302721343232966,0.004497751124437781,0.12792015962371248,-0.4554343280741592,FORWARD,0.014885777250823679,False
EP_raw,0.8876502732240437,0.02882894412601653,0.12668665667166418,0.10668134922477356,-0.3985538003807293,REJECT,,False
EP_neutral,0.6780122950819673,0.03711765318904946,0.0029985007496251873,0.1276964363613641,-0.4163046426082888,REJECT,0.01526453118598744,False
SP_raw,0.9436748633879781,0.012896320687147396,0.2518740629685157,0.07926246756381379,-0.48400372835211547,REJECT,,False
SP_neutral,0.7532513661202186,0.013763142324888294,0.12668665667166418,0.11596897734142973,-0.47641254629768937,REJECT,-0.005683582748802718,False
